Author Name,Title of the paper,Quartz Content(%),Particle size,Specific Gravity,dry density,LL (%),PL(%),CEC(meq/100g),Specific Surface area,Porosity,Saturation,Plasticity Index,Smectitie (%),K ( w/mK) Thermal coductivity,water content (%),temperature,Bentonite Type
"Zhao Zhang , Feng Zhang , Rawaz Dlawar Muhammed ",Effect of air volume fraction on the thermal conductivity of compacted bentonite materials,17,,2.79,,,,,,0.409,100,,,,,,
"Zhao Zhang , Feng Zhang , Rawaz Dlawar Muhammed ",Effect of air volume fraction on the thermal conductivity of compacted bentonite materials,17,,2.79,,,,,,0.3,95.03,,,,,,
"Zhao Zhang , Feng Zhang , Rawaz Dlawar Muhammed ",Effect of air volume fraction on the thermal conductivity of compacted bentonite materials,17,,2.79,,,,,,0.4,95.98,,,,,,
"Zhao Zhang , Feng Zhang , Rawaz Dlawar Muhammed ",Effect of air volume fraction on the thermal conductivity of compacted bentonite materials,17,,2.79,,,,,,0.5,96.89,,,,,,
"Zhao Zhang , Feng Zhang , Rawaz Dlawar Muhammed ",Effect of air volume fraction on the thermal conductivity of compacted bentonite materials,,,2.79,,,,,,0.3,0,,,0.539,,,
"Zhao Zhang , Feng Zhang , Rawaz Dlawar Muhammed ",Effect of air volume fraction on the thermal conductivity of compacted bentonite materials,,,2.79,,,,,,0.4,0,,,0.39,,,
"Zhao Zhang , Feng Zhang , Rawaz Dlawar Muhammed ",Effect of air volume fraction on the thermal conductivity of compacted bentonite materials,,,2.79,,,,,,0.5,0,,,0.281,,,
"Zhao Zhang , Feng Zhang , Rawaz Dlawar Muhammed ",Effect of air volume fraction on the thermal conductivity of compacted bentonite materials,,,2.79,,,,,,0.3,0.09,,,,,,
"Zhao Zhang , Feng Zhang , Rawaz Dlawar Muhammed ",Effect of air volume fraction on the thermal conductivity of compacted bentonite materials,,,2.79,,,,,,0.4,0.18,,,,,,
"Zhao Zhang , Feng Zhang , Rawaz Dlawar Muhammed ",Effect of air volume fraction on the thermal conductivity of compacted bentonite materials,,,2.79,,,,,,0.5,0.17,,,,,,
A study on the thermal conductivity of compacted bentonites,"Anh-Minh TANG, Yu-Jun CUI, Trung-Tinh LE",29-38,,,2.79,415,32,,687,,,383,,,,,
Thermal Mechanical Behavior of Compacted GMZ Bentonite,"Yu-Jun Cui, ANH-Minh Tang, Qian",,64.5,,2.79,474,27,73.2,687,,,447,,,,,
A Compilation and Evaluation of Thermal and Mechanical Properties of Compacted Bentonite for the Performance Assessment of Engineered Barriers in the High-level Waste Repository,"Won-Jin Cho, Jae-Owan Lee, Chul-Hyung Kang",,,,1.1,,,,,,,,,0.27,8,room temp.,kunigel V1
A Compilation and Evaluation of Thermal and Mechanical Properties of Compacted Bentonite for the Performance Assessment of Engineered Barriers in the High-level Waste Repository,"Won-Jin Cho, Jae-Owan Lee, Chul-Hyung Kang",,,,,,,,,,,,,0.26,,,
